sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,16,L0_tst_02,"",TEST PHASE — What word was paired with 'moon' during the study phase?,"{'recalled_word': 'lunar', 'confidence': 1}",,lunar,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,17,L0_tst_03,"",TEST PHASE — What word was paired with 'tree' during the study phase?,"{'recalled_word': 'forest', 'confidence': 1}",,forest,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,18,L25_tst_01,"",TEST PHASE — What word was paired with 'lion' during the study phase?,"{'recalled_word': 'mane', 'confidence': 1}",,mane,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,19,L25_tst_02,"",TEST PHASE — What word was paired with 'rose' during the study phase?,"{'recalled_word': 'thorn', 'confidence': 1}",,thorn,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,20,L25_tst_03,"",TEST PHASE — What word was paired with 'oak' during the study phase?,"{'recalled_word': 'tree', 'confidence': 1}",,tree,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,21,L50_tst_01,"",TEST PHASE — What word was paired with 'bee' during the study phase?,"{'recalled_word': 'honey', 'confidence': 1}",,honey,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,22,L50_tst_02,"",TEST PHASE — What word was paired with 'fire' during the study phase?,"{'recalled_word': 'flame', 'confidence': 1}",,flame,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,23,L50_tst_03,"",TEST PHASE — What word was paired with 'pen' during the study phase?,"{'recalled_word': 'paper', 'confidence': 1}",,paper,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,24,L75_tst_01,"",TEST PHASE — What word was paired with 'salt' during the study phase?,"{'recalled_word': 'pepper', 'confidence': 1}",,pepper,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,25,L75_tst_02,"",TEST PHASE — What word was paired with 'bread' during the study phase?,"{'recalled_word': 'butter', 'confidence': 1}",,butter,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,26,L75_tst_03,"",TEST PHASE — What word was paired with 'black' during the study phase?,"{'recalled_word': 'night', 'confidence': 1}",,night,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,27,L100_tst_01,"",TEST PHASE — What word was paired with 'big' during the study phase?,"{'recalled_word': 'house', 'confidence': 1}",,house,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,28,L100_tst_02,"",TEST PHASE — What word was paired with 'happy' during the study phase?,"{'recalled_word': 'sunny', 'confidence': 1}",,sunny,1
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,29,L100_tst_03,"",TEST PHASE — What word was paired with 'fast' during the study phase?,"{'recalled_word': 'slow', 'confidence': 1}",,slow,1
