agent,domain,rep,attribute,reported_weight,target_weight,trained
Atticus Finch,used_cars,3,age_years,50.0,62.04344719931791,True
Atticus Finch,used_cars,3,safety_rating,100.0,80.43319008791653,True
Hermione Granger,condos,0,square_footage,100.0,-37.970486136133474,True
Hermione Granger,condos,0,ceiling_height,50.0,45.96634965202574,True
Hermione Granger,condos,0,walkability_score,-20.0,79.7676575935987,True
Hermione Granger,condos,0,monthly_hoa,30.0,36.79678638308826,True
Hermione Granger,condos,0,natural_light_hours,40.0,-5.571456909457325,True
Hermione Granger,condos,1,square_footage,100.0,-37.970486136133474,True
Hermione Granger,condos,1,ceiling_height,50.0,45.96634965202574,True
Hermione Granger,condos,1,walkability_score,-20.0,79.7676575935987,True
Hermione Granger,condos,1,monthly_hoa,30.0,36.79678638308826,True
Hermione Granger,condos,1,natural_light_hours,40.0,-5.571456909457325,True
Hermione Granger,condos,2,square_footage,100.0,-37.970486136133474,True
Hermione Granger,condos,2,ceiling_height,50.0,45.96634965202574,True
Hermione Granger,condos,2,walkability_score,-20.0,79.7676575935987,True
Hermione Granger,condos,2,monthly_hoa,30.0,36.79678638308826,True
Hermione Granger,condos,2,natural_light_hours,40.0,-5.571456909457325,True
Hermione Granger,condos,3,square_footage,100.0,-37.970486136133474,True
Hermione Granger,condos,3,ceiling_height,50.0,45.96634965202574,True
Hermione Granger,condos,3,walkability_score,-20.0,79.7676575935987,True
Hermione Granger,condos,3,monthly_hoa,30.0,36.79678638308826,True
Hermione Granger,condos,3,natural_light_hours,40.0,-5.571456909457325,True
Jay Gatsby,vacations,0,cost_usd,0.0,-79.85975838632683,False
Jay Gatsby,vacations,0,flight_hours,1.0,-13.165632909243257,False
Jay Gatsby,vacations,0,avg_temp_f,0.0,22.177394688760316,False
Jay Gatsby,vacations,0,activity_count,1.0,82.60221064757965,False
Jay Gatsby,vacations,0,review_score,0.0,93.32127355415176,False
Jay Gatsby,vacations,1,cost_usd,0.0,-79.85975838632683,False
Jay Gatsby,vacations,1,flight_hours,1.0,-13.165632909243257,False
Jay Gatsby,vacations,1,avg_temp_f,0.0,22.177394688760316,False
Jay Gatsby,vacations,1,activity_count,1.0,82.60221064757965,False
Jay Gatsby,vacations,1,review_score,0.0,93.32127355415176,False
Jay Gatsby,vacations,2,cost_usd,0.0,-79.85975838632683,False
Jay Gatsby,vacations,2,flight_hours,1.0,-13.165632909243257,False
Jay Gatsby,vacations,2,avg_temp_f,0.0,22.177394688760316,False
Jay Gatsby,vacations,2,activity_count,1.0,82.60221064757965,False
Jay Gatsby,vacations,2,review_score,0.0,93.32127355415176,False
Jay Gatsby,vacations,3,cost_usd,0.0,-79.85975838632683,False
Jay Gatsby,vacations,3,flight_hours,1.0,-13.165632909243257,False
Jay Gatsby,vacations,3,avg_temp_f,0.0,22.177394688760316,False
Jay Gatsby,vacations,3,activity_count,1.0,82.60221064757965,False
Jay Gatsby,vacations,3,review_score,0.0,93.32127355415176,False
Katniss Everdeen,laptops,0,price_usd,100.0,-4.5980446894566,False
Katniss Everdeen,laptops,0,battery_life_hrs,50.0,73.061985554328,False
Katniss Everdeen,laptops,0,weight_lbs,20.0,-47.90153792160812,False
Katniss Everdeen,laptops,0,screen_nits,80.0,61.005565402604475,False
Katniss Everdeen,laptops,0,storage_gb,30.0,9.739860767117861,False
Katniss Everdeen,laptops,1,price_usd,100.0,-4.5980446894566,False
Katniss Everdeen,laptops,1,battery_life_hrs,50.0,73.061985554328,False
Katniss Everdeen,laptops,1,weight_lbs,20.0,-47.90153792160812,False
Katniss Everdeen,laptops,1,screen_nits,80.0,61.005565402604475,False
Katniss Everdeen,laptops,1,storage_gb,30.0,9.739860767117861,False
Katniss Everdeen,laptops,2,price_usd,100.0,-4.5980446894566,False
Katniss Everdeen,laptops,2,battery_life_hrs,50.0,73.061985554328,False
Katniss Everdeen,laptops,2,weight_lbs,20.0,-47.90153792160812,False
Katniss Everdeen,laptops,2,screen_nits,80.0,61.005565402604475,False
Katniss Everdeen,laptops,2,storage_gb,30.0,9.739860767117861,False
Katniss Everdeen,laptops,3,price_usd,100.0,-4.5980446894566,False
Katniss Everdeen,laptops,3,battery_life_hrs,50.0,73.061985554328,False
Katniss Everdeen,laptops,3,weight_lbs,20.0,-47.90153792160812,False
Katniss Everdeen,laptops,3,screen_nits,80.0,61.005565402604475,False
Katniss Everdeen,laptops,3,storage_gb,30.0,9.739860767117861,False
Tony Stark,used_cars,0,price_usd,100.0,-97.19165996719622,False
Tony Stark,used_cars,0,mileage,100.0,43.94093728079082,False
Tony Stark,used_cars,0,mpg,100.0,-20.235291555146247,False
Tony Stark,used_cars,0,age_years,100.0,64.96899542964661,False
Tony Stark,used_cars,0,safety_rating,100.0,33.63064024637018,False
Tony Stark,used_cars,1,price_usd,100.0,-97.19165996719622,False
Tony Stark,used_cars,1,mileage,100.0,43.94093728079082,False
Tony Stark,used_cars,1,mpg,100.0,-20.235291555146247,False
Tony Stark,used_cars,1,age_years,100.0,64.96899542964661,False
Tony Stark,used_cars,1,safety_rating,100.0,33.63064024637018,False
Tony Stark,used_cars,2,price_usd,100.0,-97.19165996719622,False
Tony Stark,used_cars,2,mileage,100.0,43.94093728079082,False
Tony Stark,used_cars,2,mpg,100.0,-20.235291555146247,False
Tony Stark,used_cars,2,age_years,100.0,64.96899542964661,False
Tony Stark,used_cars,2,safety_rating,100.0,33.63064024637018,False
Tony Stark,used_cars,3,price_usd,100.0,-97.19165996719622,False
Tony Stark,used_cars,3,mileage,100.0,43.94093728079082,False
Tony Stark,used_cars,3,mpg,100.0,-20.235291555146247,False
Tony Stark,used_cars,3,age_years,100.0,64.96899542964661,False
Tony Stark,used_cars,3,safety_rating,100.0,33.63064024637018,False
Elinor Dashwood,condos,0,square_footage,100.0,-99.77143613711435,False
Elinor Dashwood,condos,0,ceiling_height,50.0,-1.284426706935065,False
Elinor Dashwood,condos,0,walkability_score,80.0,73.52055509855617,False
Elinor Dashwood,condos,0,monthly_hoa,70.0,-51.2178246225736,False
Elinor Dashwood,condos,0,natural_light_hours,60.0,-34.95912745052199,False
Elinor Dashwood,condos,1,square_footage,100.0,-99.77143613711435,False
Elinor Dashwood,condos,1,ceiling_height,50.0,-1.284426706935065,False
Elinor Dashwood,condos,1,walkability_score,80.0,73.52055509855617,False
Elinor Dashwood,condos,1,monthly_hoa,70.0,-51.2178246225736,False
Elinor Dashwood,condos,1,natural_light_hours,60.0,-34.95912745052199,False
Elinor Dashwood,condos,2,square_footage,100.0,-99.77143613711435,False
Elinor Dashwood,condos,2,ceiling_height,50.0,-1.284426706935065,False
Elinor Dashwood,condos,2,walkability_score,80.0,73.52055509855617,False
Elinor Dashwood,condos,2,monthly_hoa,70.0,-51.2178246225736,False
Elinor Dashwood,condos,2,natural_light_hours,60.0,-34.95912745052199,False
Elinor Dashwood,condos,3,square_footage,100.0,-99.77143613711435,False
Elinor Dashwood,condos,3,ceiling_height,50.0,-1.284426706935065,False
Elinor Dashwood,condos,3,walkability_score,80.0,73.52055509855617,False
Elinor Dashwood,condos,3,monthly_hoa,70.0,-51.2178246225736,False
Elinor Dashwood,condos,3,natural_light_hours,60.0,-34.95912745052199,False
Frodo Baggins,vacations,0,cost_usd,4059.9,74.09424642173093,False
Frodo Baggins,vacations,0,flight_hours,9.1,-61.78658169952189,False
Frodo Baggins,vacations,0,avg_temp_f,57.4,13.50214812413438,False
Frodo Baggins,vacations,0,activity_count,16.0,-52.27681427695596,False
Frodo Baggins,vacations,0,review_score,2.8,93.50805005802866,False
Frodo Baggins,vacations,1,cost_usd,4059.9,74.09424642173093,False
Frodo Baggins,vacations,1,flight_hours,9.1,-61.78658169952189,False
Frodo Baggins,vacations,1,avg_temp_f,57.4,13.50214812413438,False
Frodo Baggins,vacations,1,activity_count,16.0,-52.27681427695596,False
Frodo Baggins,vacations,1,review_score,2.8,93.50805005802866,False
Frodo Baggins,vacations,2,cost_usd,4059.9,74.09424642173093,False
Frodo Baggins,vacations,2,flight_hours,9.1,-61.78658169952189,False
Frodo Baggins,vacations,2,avg_temp_f,57.4,13.50214812413438,False
Frodo Baggins,vacations,2,activity_count,16.0,-52.27681427695596,False
Frodo Baggins,vacations,2,review_score,2.8,93.50805005802866,False
Frodo Baggins,vacations,3,cost_usd,4059.9,74.09424642173093,False
Frodo Baggins,vacations,3,flight_hours,9.1,-61.78658169952189,False
Frodo Baggins,vacations,3,avg_temp_f,57.4,13.50214812413438,False
Frodo Baggins,vacations,3,activity_count,16.0,-52.27681427695596,False
Frodo Baggins,vacations,3,review_score,2.8,93.50805005802866,False
